text,label
Attempts to SYNC with this cable failed - would only charge.Put a regular ol' IPOD cable - sync succeeded easily.,0
Bought this for my Lil bro and he love it. It fits perfectly fine on his HTC ego 3d right off the bat and now his phone just got  more stronger than before.....,1
"At first I loved this product. It is so long I can use it and walk around my entire room plus it worked great but then about 2 weeks after I purchased it, it stopped working. I guess it is manufactured to last a very short time because I bought more than one and the same thing happen.",0
"I just got this phone as a replacement for my Curve 8300.  Boy, was I impressed.  It runs fast, keeps up with my typing & you can do most anything on this phone.  Email set up is a breeze & I love using the custom ringtones for people in my address book.  You can easily create your own wallpaper & songs for it and upload without confusion.The downsides are:  No video and I DETEST that the memory card is behind the battery, making it take forever to power down and access.  Beware, this phone takes awhile to boot up, but once it gets going, it's fantastic.I've read that the USB connections go bad on these phones and when my Blackberry Curve 8300 stopped charging, I believed it.  But I loved it so much, I bought another.  I checked out the new Bold but was unimpressed by it's bulky size and the flat keyboard (makes it hard to type) - this phone is MUCH better!",1
"These are probably the most comfortable bluetooth headphones.  If they weren't emitting (quietly) emitting sound, you'd forget you had them on.  However, there are 2 major flaws:1. The volume/track change button is poorly placed, and impossible to use without pressing it while also pinching the upper part of your ear.2. (Reason why I'm returning them)The volume is way too low, even when at the maximum setting.  When listening to intense heavy metal at a non-crowded gym using my HTC incredible, I could still clearly hear all conversation, background music and the Top 40 garbage pumping in the background!",0
"Great battery, with moderate to heavy use, lasts me almost 2 days. Its thick as heck and heavy, but the case it comes with makes it look good, protects the phone well (already dropped it on the ground, no damage), and its a small price to pay for not having to run around with chargers, and extra batteries all day everyday!",1
"I made this purchase in hopes to have a backup for that just-in-case situation.  BIG FAIL.  HUGE. The charger is the only thing in this order that functions properly.  After several trial runs, the batteries are going in the recycle bin.  They don't last 5 hours on full charge with little to no use of my phone.  In case you may wonder if it is an issue with my phone, my original battery still runs strong all day even with excessive use, plus I had my phone replaced in the event that the issue was with the phone.The worst part about it, when I contacted the seller, I was treated like an idiot or someone's child.  There was a back and forth about what I was or was not doing correctly, then blankly dismissed.  Never again.In short, you will be better off purchasing the overpriced real version instore.",0
I just received this Item and used it one time only. next day try to used it. and not power at all. moved it around and nothing. try to take it out from outlet. and it got out on pieces. I'm sending pictures to seller from this Item. This one was a junk.,0
"The HTC Rezound Screen Protector from GreatShield provides excellent protection for my son's replacement phone.  It's good 3 sheets are provided, I got it right on the second try.",1
It fits perfect and very easy to put it on my Note III! Must have item to protect my new Note III screen and I don't need to worry about another screen protector since it came with 5 sheets. good price also!!,1
"Long story short i was expecting something with quality. Is very thin and flimsy. Like it was made in a basement since it came in a zip loc bag.  It looks like the manufacturer went to a hobby shop,bought some cloth and with no precision stitched it up.  My Grandma Would of made one of better quality. It seriously feels like it's going to fall apart soon I honestly don't know if I have faith in it that if would keep my Samsung Galaxy Note 3 safe.",0
"I bought this for my ATT Skyrocket and they workedMade in China, you get what you pay for, the batteries do work but the trade off is the quality. It's difficult to charge the Anker batteries while on the phone and I get a battery not connected message but since now I know have 3 (counting the original) that doesn't bother me .The charger works, feels flimsy but so far it still in one piece. Another issue I had was that the little plastic that separates the positive and negative side of the battery broke but it was an easy fix, a little crazy glue on a flat surface and dipped the battery over.Like I said for under $20 to get 2 batteries and a universal charger not a bad deal.OK, I'm forced to apologize to this company and take back my first review.  The company contacted about their product sent me 2 new batteries about 2 days after I told then the problem I was having , they told me that it must be a defective product , sent me the new ones and they work just fine , no connection error , hold a charge better than my OEM samsung and I get to eat my words. Thank you so much Sunni and Anker for the great customer service!!! Impressive!!!!I know that dealing with a company is not always about the initial dealing with the customer but the way they take care of you after they already have your money. Again Thank you !!",1
"I signed up for Simple Mobile because they advertise a $40 unlimited talk, text, and ""up to 3G"" web plan.  After I signed up and paid for one month, I learned that they throttle their data on that plan to 119 kbs.  3G data typically runs between 500 kb/s and 3 gb/s.  2G data, on the other hand, can go up to 150 kb/s.  So, their ""up to 3G data"" is actually a 2G data plan!When I called their corporate HQ, they admitted that they throttle data, but claimed that 119 kb/s is at the ""low end of 3G.""  When I asked for a refund, they refused.  I ultimately disputed the charges on my credit card and received a full refund.My advice:  Don't trust Simple Mobile.Update:  Since this review was first published, Simple Mobile was acquired by American Movil, which also operates Tracfone Wireless, Net10, and Straight Talk Wireless.  They've since changed their policies very slightly.  The $40 plan is now throttled to 230 kb/s.",0
"For almost no cost, my phone has a lot of protection from being dropped banged, etc. It is a bit bulky, but that seems necessary to provide sigificant protection. Easy to install and if the need arises, easy to remove also.",1
"The Ottorbox did not fit my Iphone 4s properly.  Buttons were off and very hard to press, I gave it away lost the money I spent on this case.  No more Ottorboxes!",0
"Working fine with Note III and Docooler qi receiver.  I thought this would be limited use until i got the wireless charging back which is bigger and probably wouldn't fit.  But, the small qi reciver fit into the Note III and the wireless charging still works through this case.The volume buttons are harder to activate with the case on because the lip of the case gets in the way.  But, it is manageable.",1
"Case fits well, is light weight and provides the minimal protection i wanted.  For $3.95 you cant beat it!  You wont be sorry",1
Holds my large phone (Droid4) in its case securely. Easy to insert and remove the phone. Nice height for viewing - only negatives are the way my car is I can't see the clock now and the screw that tightens the holder in place blocks my volume knob. I'm able to work around it and am happy with this purchase.,1
It's the perfect color! It fits perfectly! And it's one of my favorite shades of green! I will buy from this seller any time!,1
"It leaves visible edges open on the sides of your screen, at least 2 mm. It would have being fine if they left 1mm only, and the thing is my new case is screen protector friendly which means it has higher edges not to harm the screen.",1
"Got it on sale for 10 bucks I believe.  Super helpful, we barely use our actual GPS nowadays and just use this.  I use it with a bag for stabilization as opposed to the suction cup, so I cannot review how that works, but the stand itself it great and sturdy, very easy to use.",1
This item said it was compatible with my HTC one but the charger on the docking stand did not line up with the charging socket on the phone.,0
Not sure what happened.. I see this brand advertised a lot. But I'll avoid it now. would order again from this vendor. I hate this review format.. the less words,0
THE EAR BROKE OFF THE FIRST WEEK I USED IT! I REALLY LOVED THE WAY IT LOOKED BUT IF BROKE NOW I AM SAD! :(,0
"I've needed this for a while.More and more smart phones are now coming with home chargers with detachable USB cables to charge from a computer.  But what to do when you are traveling?My vehicle has a USB port built in, but it doesn't provide enough current to charge most phones, and certainly not my iPad.  Problem solved here.  This little beauty will allow you to charge (2) devices simultaneously, including a large tablet (including my iPad 4 full-size).It has a solid size and feel, without being overly obtrusive.  It's well built, and I'm hoping to use and abuse it for a long time to come.Thank you, Anker, for providing a quality product!  I now need to order a second one, as my wife has pilfered this one from me!",1
