Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.1331956386566162,0.5955610776487333
1,Encoder_1,0.10072803497314453,0.4383278004733322
2,Encoder_2,0.10501205921173096,0.3056125167262483
3,Encoder_3,0.08684802055358887,0.29716970011563876
4,Encoder_4,0.0858149528503418,0.3193082619105895
5,Encoder_5,0.08594191074371338,0.3184324002167266
6,Encoder_6,0.08282363414764404,0.33135173293125514
7,Encoder_7,0.07998359203338623,0.33839663072163617
8,Encoder_8,0.07173550128936768,0.4552986389907315
9,Encoder_9,0.09255385398864746,0.6122266050814171
10,Encoder_10,0.1254037618637085,0.6125669569403455
11,Encoder_11,0.12811338901519775,0.7768986338562127
12,Encoder_12,0.13695406913757324,0.968674555944161
