Layer,CKA,CKA_Drift,MMD
0,0.0025837209541350603,0.9974162790458649,0.038291215896606445
1,0.006495597772300243,0.9935044022276998,0.03521907329559326
2,0.021001530811190605,0.9789984691888094,0.021521568298339844
3,0.020974328741431236,0.9790256712585688,0.022556066513061523
4,0.019339248538017273,0.9806607514619827,0.02269613742828369
5,0.020890897139906883,0.9791091028600931,0.02229154109954834
6,0.02329064905643463,0.9767093509435654,0.020502805709838867
7,0.03184133768081665,0.9681586623191833,0.017807960510253906
8,0.0527033805847168,0.9472966194152832,0.01577436923980713
9,0.03228285536170006,0.9677171446382999,0.01818716526031494
10,0.015594654716551304,0.9844053452834487,0.01827216148376465
11,0.00988684594631195,0.990113154053688,0.02160942554473877
12,0.004927273839712143,0.9950727261602879,0.03489077091217041
