Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.052234530448913574,0.45140722287005297
1,Encoder_1,0.038625478744506836,0.3295636286495979
2,Encoder_2,0.02173757553100586,0.26737500289774757
3,Encoder_3,0.022992372512817383,0.27013114340053124
4,Encoder_4,0.023516178131103516,0.292287188595207
5,Encoder_5,0.022910237312316895,0.31307576851059116
6,Encoder_6,0.020753860473632812,0.35218988916820015
7,Encoder_7,0.01836681365966797,0.39014848085523046
8,Encoder_8,0.01566314697265625,0.5385699385821129
9,Encoder_9,0.017535090446472168,0.6972147104335126
10,Encoder_10,0.017015457153320312,0.7063732998348926
11,Encoder_11,0.01996028423309326,0.8860735631683653
12,Encoder_12,0.03368425369262695,0.9689674690447037
