Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.462399423122406,0.6781666860758547
1,Encoder_1,0.3655915856361389,0.4178618180558011
2,Encoder_2,0.2952064275741577,0.2859691435566264
3,Encoder_3,0.2704939842224121,0.2887622904245446
4,Encoder_4,0.2743828296661377,0.31526217261497685
5,Encoder_5,0.2718745470046997,0.33360346141633646
6,Encoder_6,0.2714756727218628,0.37861746110219024
7,Encoder_7,0.25457310676574707,0.4044156392618003
8,Encoder_8,0.21014738082885742,0.5357080108185824
9,Encoder_9,0.1834934949874878,0.682128096651827
10,Encoder_10,0.17273545265197754,0.679462260273333
11,Encoder_11,0.1580185890197754,0.8286305208491391
12,Encoder_12,0.14479827880859375,0.9904938977593478
