Layer,Layer_Name,MMD,Sinkhorn
0,Embedding,0.03828275203704834,0.44737372517858026
1,Encoder_1,0.03521239757537842,0.3274750800410034
2,Encoder_2,0.021517276763916016,0.26558173293225723
3,Encoder_3,0.022552132606506348,0.2683911423684871
4,Encoder_4,0.022692322731018066,0.29045084270647603
5,Encoder_5,0.02228724956512451,0.31117647632731416
6,Encoder_6,0.02049875259399414,0.3505862460622129
7,Encoder_7,0.017805099487304688,0.38956304333937525
8,Encoder_8,0.015772104263305664,0.540288086236667
9,Encoder_9,0.01818394660949707,0.6991245365437969
10,Encoder_10,0.01826763153076172,0.7078217221544308
11,Encoder_11,0.021604299545288086,0.8865748997873174
12,Encoder_12,0.034879088401794434,0.9711447571944477
