layer,drift,normalized_weight,raw_rank,allocated_rank
1,0.0353187322616577,0.06501745050522627,6.241675248501721,6
2,0.0300904512405395,0.07631436947900375,7.32617946998436,7
3,0.0237067937850952,0.09686394664252083,9.298938877682,9
4,0.0251154899597167,0.0914309721322416,8.777373324695194,9
5,0.0292074680328369,0.07862146037814316,7.547660196301743,8
6,0.0299417972564697,0.07669325225543927,7.36255221652217,7
7,0.0262039899826049,0.08763297887454423,8.412765971956246,9
8,0.023758053779602,0.09665495463800129,9.278875645248124,9
9,0.0271135568618774,0.0846931939498118,8.130546619181933,8
10,0.0240116119384765,0.09563429670798289,9.180892483966357,9
11,0.0261566638946533,0.0877915359633538,8.427987452481965,9
12,0.0366524457931518,0.06265158847373123,6.014552493478198,6
