layer,drift,normalized_weight,raw_rank,allocated_rank
1,0.4318683212990267,0.08196104990323798,7.8682607907108455,8
2,0.3055266691554088,0.11585365294800641,11.121950683008615,11
3,0.3067463767789278,0.11539298710220121,11.077726761811316,11
4,0.3278948218336049,0.10795041097564495,10.363239453661915,10
5,0.3273272610449986,0.10813758884257951,10.381208528887633,11
6,0.3380369812882615,0.10471156342485409,10.052310088785992,10
7,0.3510440462772523,0.10083173670165152,9.679846723358546,10
8,0.4776462668056068,0.07410584688307602,7.114161300775297,7
9,0.6397842595210127,0.05532549570143049,5.311247587337327,5
10,0.6316593586146252,0.05603713585513672,5.379565042093125,5
11,0.8290287988371721,0.04269620244304414,4.098835434532237,4
12,0.956753878840366,0.03699632921913684,3.551647605037137,4
