layer,drift,normalized_weight,raw_rank,allocated_rank
1,0.0353187322616577,0.10471726955750316,10.052857877520303,10
2,0.0300904512405395,0.08921582661343765,8.564719354890014,9
3,0.0237067937850952,0.07028878320847853,6.747723188013939,7
4,0.0251154899597167,0.07446545682036257,7.148683854754807,7
5,0.0292074680328369,0.0865978506937266,8.313393666597753,8
6,0.0299417972564697,0.0887750792161271,8.522407604748201,9
7,0.0262039899826049,0.07769277396939497,7.4585063010619175,7
8,0.023758053779602,0.07044076506962,6.762313446683521,7
9,0.0271135568618774,0.08038956838918666,7.71739856536192,8
10,0.0240116119384765,0.07119254511298784,6.834484330846832,7
11,0.0261566638946533,0.0775524558324807,7.445035759918147,7
12,0.0366524457931518,0.10867162551669414,10.432476049602638,10
